model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds
rung0,none,0,10857.xml,17.18,17.18,1.0,Failed - Agent got blocked,Town12,4,480.1
rung2a,none,0,10857.xml,5.211268,41.52,0.125512,Failed - Agent got blocked,Town12,13,1152.4
rung4,none,0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,139.6
rung0,none,0,11715.xml,,,,NoResult,,,2400.1
rung2a,none,0,11715.xml,42.0,100,0.42,Completed,Town12,21,148.6
rung4,none,0,11715.xml,2.611841,100,0.026118,Completed,Town12,27,297.7
rung0,none,0,11755.xml,,,,NoResult,,,2400.2
rung2a,none,0,11755.xml,70.0,100,0.7,Completed,Town12,18,279.3
rung0,none,0,11715.xml,15.12,100,0.1512,Completed,Town12,23,1031.0
rung0,none,0,11755.xml,,,,NoResult,,,5400.1
rung4,none,0,11755.xml,6.560352,50.62,0.1296,Failed - Agent deviated from the route,Town12,13,464.7
rung0,none,0,14194.xml,45.448581,100,0.454486,Completed,Town12,23,187.6
rung2a,none,0,14194.xml,7.201949,86.71,0.083058,Failed - Agent got blocked,Town12,23,839.5
rung4,none,0,14194.xml,4.013048,80.07,0.050119,Failed - Agent got blocked,Town12,22,628.3
rung0,none,0,23901.xml,1.306101,100,0.013061,Completed,Town13,30,442.7
rung2a,none,0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,170.9
rung4,none,0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,166.0
rung0,none,0,24071.xml,1.99,1.99,1.0,Failed - Agent got blocked,Town13,1,334.0
rung2a,none,0,24071.xml,100.0,100,1.0,Completed,Town13,21,120.3
rung4,none,0,24071.xml,,,,NoResult,,,2700.1
rung0,none,0,24092.xml,15.14713,24.63,0.614987,Failed - TickRuntime,Town13,6,1041.2
rung2a,none,0,24092.xml,59.60281,100,0.596028,Completed,Town13,22,107.9
rung4,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,103.4
rung0,none,0,24224.xml,1.307181,81.82,0.015976,Failed - TickRuntime,Town02,23,998.1
rung2a,none,0,24224.xml,50.0,100,0.5,Completed,Town02,21,106.7
rung4,none,0,24224.xml,50.0,100,0.5,Completed,Town02,21,101.3
rung0,none,0,24258.xml,60.0,100,0.6,Completed,Town07,20,147.8
rung2a,none,0,24258.xml,24.819196,100,0.248192,Completed,Town07,22,117.2
rung4,none,0,24258.xml,6.065348,75.61,0.080219,Failed - TickRuntime,Town07,19,1017.1
rung0,none,0,24294.xml,43.69566,93.21,0.468787,Failed - Agent got blocked,Town02,19,340.1
rung2a,none,0,24294.xml,50.0,100,0.5,Completed,Town02,20,91.5
rung4,none,0,24294.xml,50.0,100,0.5,Completed,Town02,20,86.5
rung0,none,0,24340.xml,38.07,38.07,1.0,Failed - Agent got blocked,Town10HD,7,469.4
rung2a,none,0,24340.xml,7.00462,100,0.070046,Completed,Town10HD,24,617.0
rung4,none,0,24340.xml,14.088229,100,0.140882,Completed,Town10HD,23,142.1
rung0,none,0,24795.xml,58.302,97.17,0.6,Failed - Agent got blocked,Town04,21,359.5
rung2a,none,0,24795.xml,25.35,100,0.2535,Completed,Town04,23,109.9
rung4,none,0,24795.xml,36.0,100,0.36,Completed,Town04,22,104.0
rung0,none,0,24841.xml,0.0,0.0,1.0,Failed - Agent got blocked,Town01,1,268.2
rung2a,none,0,24841.xml,100.0,100,1.0,Completed,Town01,20,125.7
rung4,none,0,24841.xml,90.00907,100,0.900091,Completed,Town01,21,116.6
rung0,none,0,25300.xml,60.0,100,0.6,Completed,Town04,20,138.4
rung2a,none,0,25300.xml,100.0,100,1.0,Completed,Town04,19,121.8
rung4,none,0,25300.xml,21.6,100,0.216,Completed,Town04,22,110.7
rung0,none,0,25439.xml,100.0,100,1.0,Completed,Town15,18,213.9
rung2a,none,0,25439.xml,100.0,100,1.0,Completed,Town15,18,113.4
rung4,none,0,25439.xml,4.287641,100,0.042876,Completed,Town15,24,535.5
rung0,none,0,25845.xml,0.0,0,1.0,Failed - Agent got blocked,Town15,1,255.6
rung2a,none,0,25845.xml,24.788478,42.89,0.577955,Failed - TickRuntime,Town15,9,1082.8
rung4,none,0,25845.xml,13.01934,41.94,0.310428,Failed - TickRuntime,Town15,10,1061.2
rung0,none,0,25854.xml,9.477,14.58,0.65,Failed - TickRuntime,Town03,3,1096.4
rung2a,none,0,25854.xml,7.592,11.68,0.65,Failed - TickRuntime,Town03,3,1111.6
rung4,none,0,25854.xml,7.776,100,0.07776,Completed,Town03,25,902.5
rung0,none,0,25857.xml,16.488,45.8,0.36,Failed - TickRuntime,Town05,9,1053.7
rung2a,none,0,25857.xml,6.6264,74.1,0.089425,Failed - TickRuntime,Town05,18,1059.0
rung4,none,0,25857.xml,60.0,100,0.6,Completed,Town05,19,126.8
rung0,none,0,25928.xml,22.06,22.06,1.0,Failed - TickRuntime,Town11,3,823.9
rung2a,none,0,25928.xml,31.224,52.04,0.6,Failed - TickRuntime,Town11,9,853.6
rung4,none,0,25928.xml,100.0,100,1.0,Completed,Town11,18,151.3
rung0,none,0,25951.xml,7.52872,22.58,0.333424,Failed - TickRuntime,Town04,5,983.1
rung2a,none,0,25951.xml,21.6,100,0.216,Completed,Town04,23,197.3
rung4,none,0,25951.xml,26.446127,100,0.264461,Completed,Town04,23,126.2
rung0,none,0,25968.xml,14.742199,100,0.147422,Completed,Town07,20,111.3
rung2a,none,0,25968.xml,57.157557,100,0.571576,Completed,Town07,20,427.7
rung4,none,0,25968.xml,7.42,7.42,1.0,Failed - Agent got blocked,Town07,2,397.8
rung0,none,0,26405.xml,49.996874,100,0.499969,Completed,Town15,20,623.9
rung2a,none,0,26405.xml,39.991496,78.78,0.507635,Failed - Agent got blocked,Town15,16,343.3
rung4,none,0,26405.xml,7.852055,100,0.078521,Completed,Town15,23,476.3
rung0,none,0,26406.xml,36.0,100,0.36,Completed,Town04,22,164.4
rung2a,none,0,26406.xml,21.6,100,0.216,Completed,Town04,23,163.1
rung4,none,0,26406.xml,13.153054,100.0,0.131531,Completed,Town04,26,150.3
