model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
curriculum2,none,0,10857.xml,37.786,53.98,0.7,Failed - Agent deviated from the route,Town12,11,203.5,351,67.8,0.263
curriculum2,none,0,14194.xml,100.0,100,1.0,Completed,Town12,20,168.7,380,75.7,0.288
curriculum2,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,196.8,346,149.6,0.029
curriculum2,none,0,24294.xml,50.0,100,0.5,Completed,Town02,20,101.8,230,102.4,0.044
curriculum2,none,0,24841.xml,100.0,100,1.0,Completed,Town01,20,156.3,458,130.4,0.022
curriculum2,none,0,25845.xml,100.0,100,1.0,Completed,Town15,19,189.0,584,106.2,0.377
curriculum2,none,0,25928.xml,100.0,100,1.0,Completed,Town11,18,134.3,379,100.8,0.206
curriculum2,none,0,26405.xml,100.0,100,1.0,Completed,Town15,18,118.4,376,134.3,0.027
curriculum2,none,0,26956.xml,60.0,100,0.6,Completed,Town05,21,124.6,369,75.5,0.239
curriculum2,none,0,27582.xml,31.788,52.98,0.6,Failed - Agent deviated from the route,Town11,11,141.7,471,63.7,0.409
curriculum2,lidar,1.0,10857.xml,17.5,100,0.175,Completed,Town12,23,239.8,374,77.1,0.273
curriculum2,lidar,1.0,14194.xml,100.0,100,1.0,Completed,Town12,20,244.5,564,76.2,0.526
curriculum2,lidar,1.0,24092.xml,100.0,100,1.0,Completed,Town13,20,194.1,313,149.0,0.032
curriculum2,lidar,1.0,24294.xml,50.0,100,0.5,Completed,Town02,20,235.7,927,102.4,0.706
curriculum2,lidar,1.0,24841.xml,100.0,100,1.0,Completed,Town01,20,144.2,457,130.2,0.024
curriculum2,lidar,1.0,25845.xml,100.0,100,1.0,Completed,Town15,19,175.7,592,106.5,0.367
curriculum2,lidar,1.0,25928.xml,100.0,100,1.0,Completed,Town11,18,163.4,575,101.0,0.458
curriculum2,lidar,1.0,26405.xml,100.0,100,1.0,Completed,Town15,18,132.6,421,134.3,0.043
curriculum2,lidar,1.0,26956.xml,32.682,54.47,0.6,Failed - Agent deviated from the route,Town05,11,116.0,339,69.3,0.251
curriculum2,lidar,1.0,27582.xml,52.98,52.98,1.0,Failed - Agent deviated from the route,Town11,10,132.2,391,63.7,0.349
curriculum2,camera,1.0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,196.8,244,67.6,0.041
curriculum2,camera,1.0,14194.xml,32.527636,52.7,0.617223,Failed - Agent got blocked,Town12,12,561.5,1540,43.1,0.875
curriculum2,camera,1.0,24092.xml,9.351344,17.6,0.531326,Failed - TickRuntime,Town13,5,1005.2,3999,28.1,0.974
curriculum2,camera,1.0,24294.xml,50.0,100,0.5,Completed,Town02,20,132.0,486,102.5,0.41
curriculum2,camera,1.0,24841.xml,63.001814,100,0.630018,Completed,Town01,22,142.6,458,133.2,0.022
curriculum2,camera,1.0,25845.xml,25.734,42.89,0.6,Failed - TickRuntime,Town15,8,920.2,3999,46.5,0.954
curriculum2,camera,1.0,25928.xml,12.535563,64.03,0.195776,Failed - Agent deviated from the route,Town11,15,395.4,2192,99.1,0.724
curriculum2,camera,1.0,26405.xml,16.716315,31.78,0.526001,Failed - Agent got blocked,Town15,8,313.5,1442,46.9,0.865
curriculum2,camera,1.0,26956.xml,32.682,54.47,0.6,Failed - Agent deviated from the route,Town05,11,132.6,432,68.4,0.429
curriculum2,camera,1.0,27582.xml,37.891,54.13,0.7,Failed - Agent deviated from the route,Town11,11,120.3,341,64.4,0.229
curriculum2,none,0,11715.xml,33.103,47.29,0.7,Failed - Agent deviated from the route,Town12,10,153.3,281,68.2,0.089
curriculum2,none,0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,216.3,427,176.1,0.023
curriculum2,none,0,24224.xml,100.0,100,1.0,Completed,Town02,20,131.8,373,132.4,0.083
curriculum2,none,0,24340.xml,100.0,100,1.0,Completed,Town10HD,19,131.1,327,100.8,0.031
curriculum2,none,0,25300.xml,100.0,100.0,1.0,Completed,Town04,21,165.8,517,185.3,0.019
curriculum2,none,0,25854.xml,60.0,100,0.6,Completed,Town03,21,165.2,463,132.2,0.074
curriculum2,none,0,25951.xml,22.869077,100,0.228691,Completed,Town04,24,144.0,433,138.8,0.023
curriculum2,none,0,26406.xml,7.8696,21.86,0.36,Failed - TickRuntime,Town04,6,848.7,3999,42.5,0.93
curriculum2,none,0,27515.xml,14.0525,40.15,0.35,Failed - Agent deviated from the route,Town03,9,107.5,315,60.4,0.137
