model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
dense_curriculum2,none,0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,166.0,241,67.9,0.042
dense_curriculum2,none,0,14194.xml,26.838,44.73,0.6,Failed - Agent got blocked,Town12,10,647.2,1995,35.3,0.908
dense_curriculum2,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,202.6,380,149.0,0.026
dense_curriculum2,none,0,24294.xml,50.0,100,0.5,Completed,Town02,20,227.7,929,102.3,0.7
dense_curriculum2,none,0,24841.xml,100.0,100,1.0,Completed,Town01,20,153.2,453,130.6,0.022
dense_curriculum2,none,0,25845.xml,18.522,51.45,0.36,Failed - TickRuntime,Town15,11,1015.4,3999,56.3,0.934
dense_curriculum2,none,0,25928.xml,100.0,100,1.0,Completed,Town11,18,127.3,366,101.0,0.121
dense_curriculum2,none,0,26405.xml,60.0,100,0.6,Completed,Town15,19,107.1,368,134.2,0.027
dense_curriculum2,none,0,26956.xml,22.05469,100.0,0.220547,Completed,Town05,24,142.7,475,114.0,0.175
dense_curriculum2,none,0,27582.xml,52.98,52.98,1.0,Failed - Agent deviated from the route,Town11,10,125.6,404,63.9,0.471
dense_curriculum2,lidar,1.0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,176.4,239,67.7,0.042
dense_curriculum2,lidar,1.0,14194.xml,100.0,100,1.0,Completed,Town12,20,206.4,489,75.7,0.449
dense_curriculum2,lidar,1.0,24092.xml,,,,NoResult,,,287.0,,,
dense_curriculum2,lidar,1.0,24294.xml,50.0,100,0.5,Completed,Town02,20,219.3,921,102.4,0.707
dense_curriculum2,lidar,1.0,24841.xml,100.0,100,1.0,Completed,Town01,20,157.9,457,130.5,0.022
dense_curriculum2,lidar,1.0,25845.xml,30.87,51.45,0.6,Failed - TickRuntime,Town15,10,990.1,3999,56.1,0.944
dense_curriculum2,lidar,1.0,25928.xml,100.0,100,1.0,Completed,Town11,18,128.3,371,100.6,0.141
dense_curriculum2,lidar,1.0,26405.xml,100.0,100,1.0,Completed,Town15,18,133.2,431,133.9,0.049
dense_curriculum2,lidar,1.0,26956.xml,33.930292,100.0,0.339303,Completed,Town05,23,492.8,2341,111.0,0.808
dense_curriculum2,lidar,1.0,27582.xml,52.98,52.98,1.0,Failed - Agent deviated from the route,Town11,10,125.5,403,63.7,0.463
dense_curriculum2,camera,1.0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,187.4,256,67.7,0.043
dense_curriculum2,camera,1.0,14194.xml,40.0,100,0.4,Completed,Town12,22,138.0,263,75.9,0.038
dense_curriculum2,camera,1.0,24092.xml,33.454289,100,0.334543,Completed,Town13,23,217.4,512,158.6,0.07
dense_curriculum2,camera,1.0,24294.xml,44.665,89.33,0.5,Failed - Agent got blocked,Town02,17,407.8,2137,92.7,0.856
dense_curriculum2,camera,1.0,24841.xml,100.0,100,1.0,Completed,Town01,20,135.7,462,130.8,0.041
