model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung0_lead,none,0,10857.xml,27.652134,38.44,0.719358,Failed - Agent deviated from the route,Town12,9,242.3,222,54.5,0.045
rung0_lead,none,0,11715.xml,,,,NoResult,,,2700.2,1000,62.9,0.801
rung0_lead,none,0,11755.xml,,,,NoResult,,,2700.1,1800,29.6,0.933
rung0_lead,none,0,14194.xml,20.834058,34.71,0.600232,Failed - Agent got blocked,Town12,9,833.2,1981,28.6,0.891
rung0_lead,none,0,23901.xml,6.29723,56.46,0.111534,Failed - Agent deviated from the route,Town13,14,377.4,932,102.1,0.623
rung0_lead,none,0,24071.xml,89.742599,100,0.897426,Completed,Town13,22,135.0,255,155.3,0.118
rung0_lead,none,0,24092.xml,27.211768,55.78,0.487841,Failed - TickRuntime,Town13,12,744.4,3999,84.5,0.942
rung0_lead,none,0,24224.xml,15.284437,27.3,0.559869,Failed - Agent got blocked,Town02,7,253.5,1345,37.6,0.901
rung0_lead,none,0,24258.xml,17.64936,81.71,0.216,Failed - TickRuntime,Town07,17,673.2,3999,109.6,0.877
rung0_lead,none,0,24294.xml,20.871713,33.08,0.630947,Failed - Agent got blocked,Town02,8,242.9,1349,34.7,0.898
rung0_lead,none,0,24340.xml,21.776459,41.49,0.52486,Failed - Agent got blocked,Town10HD,10,318.2,1420,46.1,0.86
rung0_lead,none,0,24795.xml,7.250131,100,0.072501,Completed,Town04,27,127.8,527,141.6,0.023
rung0_lead,none,0,24841.xml,14.58,14.58,1.0,Failed - Agent got blocked,Town01,3,327.0,1688,19.2,0.84
rung0_lead,none,0,25300.xml,6.653064,22.02,0.302137,Failed - TickRuntime,Town04,6,700.1,3999,36.4,0.964
rung0_lead,none,0,25439.xml,15.217831,29.56,0.514812,Failed - TickRuntime,Town15,6,633.7,3999,40.6,0.957
rung0_lead,none,0,25845.xml,9.95241,36.24,0.274625,Failed - TickRuntime,Town15,9,680.5,3999,39.4,0.96
rung0_lead,none,0,25854.xml,16.091958,26.21,0.613963,Failed - TickRuntime,Town03,6,797.4,3999,37.7,0.953
rung0_lead,none,0,25857.xml,16.293484,72.61,0.224397,Failed - TickRuntime,Town05,16,712.5,3999,95.9,0.901
rung0_lead,none,0,25928.xml,31.0555,100,0.310555,Completed,Town11,19,108.0,347,101.3,0.029
rung0_lead,none,0,25951.xml,4.960934,60.96,0.08138,Failed - TickRuntime,Town04,15,683.1,3999,87.6,0.925
rung0_lead,none,0,25968.xml,5.62,5.62,1.0,Failed - Agent got blocked,Town07,2,221.8,1237,3.4,0.979
rung0_lead,none,0,26405.xml,13.614,22.69,0.6,Failed - Agent got blocked,Town15,5,265.8,1571,31.5,0.903
rung0_lead,none,0,26406.xml,29.350794,81.97,0.358068,Failed - Agent got blocked,Town04,18,349.5,1986,121.4,0.81
rung0_lead,none,0,26456.xml,14.202863,26.21,0.541887,Failed - Agent got blocked,Town03,7,302.8,1448,34.0,0.856
