model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung1d_recipe,none,0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,222.0,239,68.2,0.042
rung1d_recipe,none,0,11715.xml,70.0,100,0.7,Completed,Town12,20,147.3,230,87.2,0.044
rung1d_recipe,none,0,11755.xml,70.0,100,0.7,Completed,Town12,18,160.9,278,81.7,0.036
rung1d_recipe,none,0,14194.xml,40.0,100,0.4,Completed,Town12,22,153.2,251,75.8,0.04
rung1d_recipe,none,0,23901.xml,50.719239,98.09,0.517068,Failed - Agent got blocked,Town13,23,598.3,1727,158.9,0.743
rung1d_recipe,none,0,24071.xml,100.0,100,1.0,Completed,Town13,21,144.9,210,155.2,0.048
rung1d_recipe,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,145.4,211,149.9,0.048
rung1d_recipe,none,0,24224.xml,50.0,100,0.5,Completed,Town02,21,141.1,351,132.7,0.029
rung1d_recipe,none,0,24258.xml,100.0,100,1.0,Completed,Town07,19,146.3,386,132.2,0.026
rung1d_recipe,none,0,24294.xml,25.24925,77.69,0.325,Failed - Agent got blocked,Town02,16,412.3,1618,80.6,0.851
rung1d_recipe,none,0,24340.xml,60.0,100,0.6,Completed,Town10HD,20,156.8,335,100.0,0.051
rung1d_recipe,none,0,24795.xml,100.0,100,1.0,Completed,Town04,20,141.6,363,140.6,0.028
rung1d_recipe,none,0,24841.xml,100.0,100,1.0,Completed,Town01,20,176.1,459,130.4,0.033
rung1d_recipe,none,0,25300.xml,60.0,100,0.6,Completed,Town04,20,215.4,601,155.5,0.2
rung1d_recipe,none,0,25439.xml,60.0,100,0.6,Completed,Town15,19,143.9,363,130.5,0.028
rung1d_recipe,none,0,25845.xml,21.18527,100,0.211853,Completed,Town15,23,597.2,2210,108.0,0.796
rung1d_recipe,none,0,25854.xml,19.710816,100,0.197108,Completed,Town03,24,218.4,830,134.7,0.572
rung1d_recipe,none,0,25857.xml,35.37,35.37,1.0,Failed - TickRuntime,Town05,6,854.6,3999,46.1,0.965
rung1d_recipe,none,0,25928.xml,100.0,100,1.0,Completed,Town11,18,113.5,351,101.2,0.143
rung1d_recipe,none,0,25951.xml,100.0,100,1.0,Completed,Town04,20,155.8,419,136.2,0.026
rung1d_recipe,none,0,25968.xml,34.11,34.11,1.0,Failed - Agent deviated from the route,Town07,7,154.4,438,47.7,0.602
rung1d_recipe,none,0,26405.xml,23.994153,100,0.239942,Completed,Town15,21,137.7,355,134.2,0.028
rung1d_recipe,none,0,26406.xml,60.0,100,0.6,Completed,Town04,21,209.9,617,145.1,0.336
rung1d_recipe,none,0,26456.xml,23.940703,77.92,0.307247,Failed - Agent got blocked,Town03,18,553.4,1906,106.7,0.751
rung1d_recipe,none,0,26956.xml,,,,NoResult,,,2700.1,,,
rung1d_recipe,none,0,27515.xml,33.050595,48.2,0.685697,Failed - Agent deviated from the route,Town03,11,92.8,229,66.6,0.044
rung1d_recipe,none,0,27532.xml,26.085427,100,0.260854,Completed,Town11,22,144.1,471,76.2,0.219
rung1d_recipe,none,0,27582.xml,18.543,52.98,0.35,Failed - Agent deviated from the route,Town11,12,96.1,213,63.9,0.047
rung1d_recipe,none,0,28035.xml,39.76566,72.6,0.547736,Failed - Agent deviated from the route,Town01,15,150.1,348,114.6,0.029
rung1d_recipe,none,0,28154.xml,59.058041,100,0.59058,Completed,Town10HD,22,287.5,758,149.6,0.341
rung1d_recipe,lidar,1.0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,229.2,241,67.9,0.042
rung1d_recipe,lidar,1.0,11715.xml,42.0,100,0.42,Completed,Town12,21,169.5,256,86.9,0.039
rung1d_recipe,lidar,1.0,11755.xml,70.0,100,0.7,Completed,Town12,18,170.4,269,81.7,0.037
rung1d_recipe,lidar,1.0,14194.xml,40.0,100,0.4,Completed,Town12,22,180.9,266,75.7,0.038
rung1d_recipe,lidar,1.0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,289.9,485,177.2,0.021
rung1d_recipe,lidar,1.0,24071.xml,87.4668,100,0.874668,Completed,Town13,22,152.1,209,155.2,0.048
rung1d_recipe,lidar,1.0,24092.xml,100.0,100,1.0,Completed,Town13,20,146.3,222,150.0,0.045
rung1d_recipe,lidar,1.0,24224.xml,100.0,100,1.0,Completed,Town02,20,154.8,388,132.6,0.026
rung1d_recipe,lidar,1.0,24258.xml,100.0,100,1.0,Completed,Town07,19,143.8,378,131.9,0.027
rung1d_recipe,lidar,1.0,24294.xml,25.24925,77.69,0.325,Failed - Agent got blocked,Town02,16,386.1,1485,80.6,0.83
rung1d_recipe,lidar,1.0,24340.xml,100.0,100,1.0,Completed,Town10HD,19,189.1,425,101.0,0.205
rung1d_recipe,lidar,1.0,24795.xml,22.363014,100,0.22363,Completed,Town04,24,118.3,345,144.6,0.029
rung1d_recipe,lidar,1.0,24841.xml,100.0,100,1.0,Completed,Town01,20,168.6,468,130.5,0.054
