model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung2ad_recipe,none,0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,257.6,244,67.7,0.041
rung2ad_recipe,none,0,11715.xml,31.472,44.96,0.7,Failed - Agent deviated from the route,Town12,9,149.7,192,64.1,0.052
rung2ad_recipe,none,0,11755.xml,,,,NoResult,,,2700.2,1800,62.5,0.855
rung2ad_recipe,none,0,14194.xml,50.0,100,0.5,Completed,Town12,21,247.7,293,75.9,0.106
rung2ad_recipe,none,0,23901.xml,47.007912,79.3,0.592786,Failed - Agent got blocked,Town13,18,666.5,1565,127.5,0.774
rung2ad_recipe,none,0,24071.xml,100.0,100,1.0,Completed,Town13,21,166.6,222,154.8,0.045
rung2ad_recipe,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,149.4,197,150.7,0.051
rung2ad_recipe,none,0,24224.xml,50.0,100,0.5,Completed,Town02,21,155.8,354,132.5,0.028
rung2ad_recipe,none,0,24258.xml,100.0,100,1.0,Completed,Town07,19,167.7,377,132.1,0.027
rung2ad_recipe,none,0,24294.xml,20.715175,98.06,0.21125,Failed - Agent got blocked,Town02,22,697.4,2554,107.8,0.866
rung2ad_recipe,none,0,24340.xml,60.0,100,0.6,Completed,Town10HD,20,178.7,354,99.4,0.048
rung2ad_recipe,none,0,24795.xml,100.0,100,1.0,Completed,Town04,20,188.9,454,142.0,0.117
rung2ad_recipe,none,0,24841.xml,21.870767,34.41,0.635593,Failed - Agent got blocked,Town01,9,446.8,1362,45.7,0.89
rung2ad_recipe,none,0,25300.xml,100.0,100,1.0,Completed,Town04,19,182.5,399,152.4,0.025
rung2ad_recipe,none,0,25439.xml,100.0,100,1.0,Completed,Town15,18,158.9,393,129.9,0.077
rung2ad_recipe,none,0,25845.xml,20.234858,69.52,0.291065,Failed - TickRuntime,Town15,15,1141.0,3999,75.8,0.941
rung2ad_recipe,none,0,25854.xml,13.258327,26.21,0.50585,Failed - TickRuntime,Town03,6,1161.5,3999,33.3,0.972
rung2ad_recipe,none,0,25857.xml,18.72089,47.29,0.395874,Failed - TickRuntime,Town05,11,995.6,3999,62.0,0.951
rung2ad_recipe,none,0,25928.xml,52.04,52.04,1.0,Failed - TickRuntime,Town11,8,635.5,3999,53.6,0.961
rung2ad_recipe,none,0,25951.xml,100.0,100,1.0,Completed,Town04,20,205.4,601,135.7,0.098
rung2ad_recipe,none,0,25968.xml,34.11,34.11,1.0,Failed - Agent deviated from the route,Town07,7,238.3,731,47.8,0.768
rung2ad_recipe,none,0,26405.xml,100.0,100,1.0,Completed,Town15,18,139.8,332,136.2,0.03
rung2ad_recipe,none,0,26406.xml,100.0,100,1.0,Completed,Town04,20,216.7,606,144.5,0.34
rung2ad_recipe,none,0,26456.xml,13.258327,26.21,0.50585,Failed - Agent got blocked,Town03,7,436.3,1327,33.5,0.913
rung2ad_recipe,none,0,26956.xml,11.318833,53.44,0.211805,Failed - TickRuntime,Town05,13,1086.2,3999,72.6,0.931
