model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
diverse,none,0,1711.xml,,,,NoResult,,,240.5,,,
ref0,none,0,1711.xml,100.0,100,1.0,Completed,Town12,20,232.3,471,132.5,0.045
diverse,none,0,17563.xml,100.0,100,1.0,Completed,Town12,19,131.1,250,113.7,0.04
ref0,none,0,17563.xml,100.0,100,1.0,Completed,Town12,19,118.0,225,115.1,0.045
diverse,none,0,17752.xml,50.0,100,0.5,Completed,Town12,21,185.2,423,132.5,0.024
ref0,none,0,17752.xml,100.0,100,1.0,Completed,Town12,20,205.2,491,132.5,0.143
diverse,none,0,1790.xml,100.0,100,1.0,Completed,Town12,21,277.5,547,118.9,0.125
ref0,none,0,1790.xml,100.0,100,1.0,Completed,Town12,21,233.7,373,119.3,0.035
diverse,none,0,2127.xml,100.0,100,1.0,Completed,Town12,20,226.5,849,79.9,0.735
ref0,none,0,2127.xml,100.0,100,1.0,Completed,Town12,20,148.6,503,77.0,0.396
diverse,none,0,2204.xml,48.0,100,0.48,Completed,Town12,21,143.7,405,73.5,0.453
ref0,none,0,2204.xml,100.0,100,1.0,Completed,Town12,19,180.2,563,73.4,0.457
diverse,none,0,23658.xml,76.14,76.14,1.0,Failed - Agent deviated from the route,Town12,14,121.3,297,99.0,0.034
ref0,none,0,23658.xml,100.0,100,1.0,Completed,Town12,19,120.9,290,106.5,0.038
diverse,none,0,23700.xml,100.0,100,1.0,Completed,Town12,20,174.8,336,113.4,0.03
ref0,none,0,23700.xml,100.0,100,1.0,Completed,Town12,20,209.3,423,114.0,0.026
diverse,none,0,2390.xml,42.54,42.54,1.0,Failed - Agent deviated from the route,Town12,8,99.5,178,53.0,0.056
ref0,none,0,2390.xml,100.0,100,1.0,Completed,Town12,18,96.4,168,64.9,0.06
diverse,none,0,23910.xml,92.17,92.17,1.0,Failed - Agent deviated from the route,Town12,17,129.5,282,112.0,0.036
