model,checkpoint,samples,term,value
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_bev_semantic,0.005086
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_center_net_heatmap,0.006266
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_center_net_offset,0.007635
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_center_net_velocity,0.007912
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_center_net_wh,0.004439
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_center_net_yaw_class,3.8e-05
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_center_net_yaw_res,7.3e-05
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_depth,2e-06
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_semantic,0.001953
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_spatial_route,0.004994
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_spatio_temporal_waypoints,0.007807
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,loss_target_speed,0.024534
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,objective,0.079045
post31@train_check_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4046,radar_loss,0.008307
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_bev_semantic,0.02669
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_center_net_heatmap,0.210534
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_center_net_offset,0.018007
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_center_net_velocity,0.078898
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_center_net_wh,0.011671
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_center_net_yaw_class,0.089788
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_center_net_yaw_res,0.000268
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_depth,2e-06
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_semantic,0.007589
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_spatial_route,0.026452
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_spatio_temporal_waypoints,0.051846
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,loss_target_speed,0.145237
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,objective,0.724779
post31@held_out_28,/home/razzaghi/LEAD/lead/outputs/rung0_lead_recipe_post31/model_0030.pth,4683,radar_loss,0.057795
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,loss_bev_semantic,0.007953
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,loss_center_net_heatmap,0.01971
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,loss_center_net_offset,0.011702
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,loss_center_net_velocity,0.01671
diverse@train_check_div_28,/home/razzaghi/LEAD/lead/outputs/rung0_diverse_post31/model_0030.pth,2885,loss_center_net_wh,0.006102
