model,condition,replaced,waypoint_movement_m,batches,failure
rung2a,none:0.0,camera,0.3625,60,
rung2a,none:0.0,lidar,2.3164,60,
rung2a,camera:1.0,camera,0.224,60,
rung2a,camera:1.0,lidar,1.3563,60,
rung2a,lidar:1.0,camera,1.0055,60,
rung2a,lidar:1.0,lidar,2.4043,60,
rung2b,none:0.0,camera,0.2821,60,
rung2b,none:0.0,lidar,0.9761,60,
rung2b,camera:1.0,camera,0.3043,60,
rung2b,camera:1.0,lidar,1.1187,60,
rung2b,lidar:1.0,camera,0.6558,60,
rung2b,lidar:1.0,lidar,0.6952,60,
rung3,none:0.0,camera,0.2017,60,
rung3,none:0.0,lidar,1.2539,60,
rung3,camera:1.0,camera,0.3311,60,
rung3,camera:1.0,lidar,1.4283,60,
rung3,lidar:1.0,camera,0.9244,60,
rung3,lidar:1.0,lidar,1.1264,60,
rung4,none:0.0,camera,0.3661,60,
rung4,none:0.0,lidar,1.3193,60,
rung4,camera:1.0,camera,0.4654,60,
rung4,camera:1.0,lidar,1.6298,60,
rung4,lidar:1.0,camera,0.917,60,
rung4,lidar:1.0,lidar,0.8448,60,
