model,corruption,waypoint_l2_m,batches,failure
rung0,clean,0.6909,60,
rung0,motion_blur,0.6998,60,
rung0,posterise,0.6923,60,
rung0,occlusion,0.7043,60,
rung0,misalignment,0.9971,60,
rung0,band_dropout,0.8957,60,
rung2a,clean,0.4424,60,
rung2a,motion_blur,0.4541,60,
rung2a,posterise,0.4563,60,
rung2a,occlusion,0.5143,60,
rung2a,misalignment,1.2174,60,
rung2a,band_dropout,0.9743,60,
rung3,clean,0.5812,60,
rung3,motion_blur,0.585,60,
rung3,posterise,0.5742,60,
rung3,occlusion,0.6274,60,
rung3,misalignment,1.4411,60,
rung3,band_dropout,1.2889,60,
rung4,clean,0.4412,60,
rung4,motion_blur,0.4508,60,
rung4,posterise,0.4441,60,
rung4,occlusion,0.4546,60,
rung4,misalignment,1.0646,60,
rung4,band_dropout,1.0283,60,
