model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds
ref0,none,0,10857.xml,100.0,100,1.0,Completed,Town12,20,585.9
ref0,none,0,11715.xml,100.0,100,1.0,Completed,Town12,19,695.3
ref0,none,0,11755.xml,60.0,100,0.6,Completed,Town12,18,473.0
ref0,none,0,14194.xml,27.636,46.06,0.6,Failed - Agent got blocked,Town12,10,1806.2
ref0,none,0,23901.xml,100.0,100,1.0,Completed,Town13,20,594.7
ref0,none,0,24071.xml,100.0,100,1.0,Completed,Town13,21,355.4
ref0,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,370.3
ref0,none,0,24224.xml,50.0,100,0.5,Completed,Town02,21,284.7
ref0,none,0,24258.xml,100.0,100,1.0,Completed,Town07,19,383.0
ref0,none,0,24294.xml,100.0,100,1.0,Completed,Town02,19,673.2
ref0,none,0,24340.xml,100.0,100,1.0,Completed,Town10HD,19,372.7
ref0,none,0,24795.xml,100.0,100,1.0,Completed,Town04,20,401.5
ref0,none,0,24841.xml,100.0,100,1.0,Completed,Town01,20,422.8
ref0,none,0,25300.xml,100.0,100,1.0,Completed,Town04,19,457.1
ref0,none,0,25439.xml,100.0,100,1.0,Completed,Town15,18,368.1
ref0,none,0,25845.xml,100.0,100,1.0,Completed,Town15,19,1691.9
ref0,none,0,25854.xml,100.0,100,1.0,Completed,Town03,20,629.0
ref0,none,0,25857.xml,100.0,100,1.0,Completed,Town05,18,1753.9
ref0,none,0,25928.xml,100.0,100,1.0,Completed,Town11,18,391.1
ref0,none,0,25951.xml,100.0,100,1.0,Completed,Town04,20,380.9
ref0,none,0,25968.xml,40.681481,46.84,0.86852,Failed - Agent got blocked,Town07,10,886.8
ref0,none,0,26405.xml,100.0,100,1.0,Completed,Town15,18,330.0
ref0,none,0,26406.xml,100.0,100,1.0,Completed,Town04,20,507.6
ref0,none,0,26456.xml,100.0,100,1.0,Completed,Town03,20,1260.9
ref0,none,0,26956.xml,100.0,100,1.0,Completed,Town05,20,318.5
ref0,none,0,27515.xml,72.946137,100,0.729461,Completed,Town03,19,507.8
ref0,none,0,27532.xml,100.0,100,1.0,Completed,Town11,19,377.8
ref0,none,0,27582.xml,100.0,100,1.0,Completed,Town11,19,333.0
ref0,none,0,28035.xml,70.0,100,0.7,Completed,Town01,20,404.4
ref0,none,0,28154.xml,100.0,100,1.0,Completed,Town10HD,20,610.2
ref0,lidar,1.0,10857.xml,100.0,100,1.0,Completed,Town12,20,552.5
ref0,lidar,1.0,11715.xml,,,,NoResult,,,2700.1
ref0,lidar,1.0,11755.xml,60.0,100,0.6,Completed,Town12,18,567.6
ref0,lidar,1.0,14194.xml,48.0,100,0.48,Completed,Town12,22,539.8
ref0,lidar,1.0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,618.7
ref0,lidar,1.0,24071.xml,100.0,100,1.0,Completed,Town13,21,417.9
ref0,lidar,1.0,24092.xml,60.0,100,0.6,Completed,Town13,21,321.3
ref0,lidar,1.0,24224.xml,100.0,100,1.0,Completed,Town02,20,396.4
ref0,lidar,1.0,24258.xml,36.0,100,0.36,Completed,Town07,21,392.8
ref0,lidar,1.0,24294.xml,100.0,100,1.0,Completed,Town02,19,682.2
ref0,lidar,1.0,24340.xml,100.0,100,1.0,Completed,Town10HD,19,334.0
ref0,lidar,1.0,24795.xml,60.0,100,0.6,Completed,Town04,21,369.1
ref0,lidar,1.0,24841.xml,100.0,100,1.0,Completed,Town01,20,417.8
ref0,lidar,1.0,25300.xml,100.0,100,1.0,Completed,Town04,19,482.8
ref0,lidar,1.0,25439.xml,100.0,100,1.0,Completed,Town15,18,518.4
ref0,lidar,1.0,25845.xml,,,,NoResult,,,2700.4
ref0,lidar,1.0,25854.xml,100.0,100,1.0,Completed,Town03,20,1298.5
ref0,lidar,1.0,25857.xml,,,,NoResult,,,2700.4
ref0,lidar,1.0,25928.xml,34.818,58.03,0.6,Failed - TickRuntime,Town11,10,2691.8
ref0,lidar,1.0,25951.xml,36.0,100,0.36,Completed,Town04,22,674.6
ref0,lidar,1.0,25968.xml,100.0,100,1.0,Completed,Town07,19,203.6
ref0,lidar,1.0,26405.xml,100.0,100,1.0,Completed,Town15,18,339.4
ref0,lidar,1.0,26406.xml,100.0,100,1.0,Completed,Town04,20,498.1
ref0,lidar,1.0,26456.xml,100.0,100,1.0,Completed,Town03,20,1216.1
ref0,lidar,1.0,26956.xml,60.0,100,0.6,Completed,Town05,21,321.8
