run,rung,stage,epoch,objective,semantic,steps
probe_baseline,probe_baseline,pre,0,1.297825,0.382812,4
rung0_baseline,rung0_baseline,pre,0,0.563306,0.102614,156
rung0_baseline,rung0_baseline,pre,1,0.370021,0.067159,156
rung0_baseline,rung0_baseline,pre,2,0.254057,0.05132,157
rung0_baseline,rung0_baseline,pre,3,0.369717,0.071482,156
rung0_baseline,rung0_baseline,pre,4,0.574294,0.149533,157
rung0_baseline,rung0_baseline,pre,5,0.468313,0.116933,156
rung0_baseline,rung0_baseline,pre,6,0.426088,0.110296,157
rung0_baseline,rung0_baseline,pre,7,0.463175,0.113703,156
rung0_baseline,rung0_baseline,pre,8,0.894456,0.184236,157
rung0_baseline,rung0_baseline,pre,9,0.853748,0.151141,156
rung0_baseline_post,rung0_baseline,post,0,0.787698,0.200372,147
rung0_baseline_post,rung0_baseline,post,1,0.681511,0.186085,147
rung0_baseline_post,rung0_baseline,post,2,0.590996,0.151562,148
rung0_baseline_post,rung0_baseline,post,3,0.579173,0.162055,147
rung0_baseline_post,rung0_baseline,post,4,0.493839,0.14696,148
rung0_baseline_post,rung0_baseline,post,5,0.4591,0.13869,147
rung0_baseline_post,rung0_baseline,post,6,0.447493,0.130862,148
rung0_baseline_post,rung0_baseline,post,7,0.453439,0.13671,147
rung0_baseline_post,rung0_baseline,post,8,0.432051,0.130409,148
rung0_baseline_post,rung0_baseline,post,9,0.395813,0.122197,147
rung0_lead_recipe,rung0_lead_recipe,pre,0,0.81701,0.135543,19
rung0_lead_recipe,rung0_lead_recipe,pre,1,0.514683,0.078285,20
rung0_lead_recipe,rung0_lead_recipe,pre,2,0.348908,0.062592,19
rung0_lead_recipe,rung0_lead_recipe,pre,3,0.343301,0.060024,20
rung0_lead_recipe,rung0_lead_recipe,pre,4,0.275684,0.053678,19
rung0_lead_recipe,rung0_lead_recipe,pre,5,0.238739,0.046767,20
rung0_lead_recipe,rung0_lead_recipe,pre,6,0.206837,0.045316,19
rung0_lead_recipe,rung0_lead_recipe,pre,7,0.235675,0.04382,20
rung0_lead_recipe,rung0_lead_recipe,pre,8,0.224496,0.044406,20
rung0_lead_recipe,rung0_lead_recipe,pre,9,0.203179,0.041055,19
rung0_lead_recipe,rung0_lead_recipe,pre,10,0.175087,0.039206,20
rung0_lead_recipe,rung0_lead_recipe,pre,11,0.167044,0.037881,19
rung0_lead_recipe,rung0_lead_recipe,pre,12,0.154834,0.038541,20
rung0_lead_recipe,rung0_lead_recipe,pre,13,0.141999,0.035533,19
rung0_lead_recipe,rung0_lead_recipe,pre,14,0.136894,0.036555,20
rung0_lead_recipe,rung0_lead_recipe,pre,15,0.178388,0.037141,19
rung0_lead_recipe,rung0_lead_recipe,pre,16,0.177544,0.036111,20
rung0_lead_recipe,rung0_lead_recipe,pre,17,0.158925,0.036175,20
rung0_lead_recipe,rung0_lead_recipe,pre,18,0.150767,0.034828,19
rung0_lead_recipe,rung0_lead_recipe,pre,19,0.143849,0.034109,20
rung0_lead_recipe,rung0_lead_recipe,pre,20,0.147453,0.034981,19
rung0_lead_recipe,rung0_lead_recipe,pre,21,0.126326,0.031403,20
rung0_lead_recipe,rung0_lead_recipe,pre,22,0.126547,0.03408,19
rung0_lead_recipe,rung0_lead_recipe,pre,23,0.113031,0.031456,20
rung0_lead_recipe,rung0_lead_recipe,pre,24,0.112969,0.030583,20
rung0_lead_recipe,rung0_lead_recipe,pre,25,0.096977,0.031069,19
rung0_lead_recipe,rung0_lead_recipe,pre,26,0.098298,0.02971,20
rung0_lead_recipe,rung0_lead_recipe,pre,27,0.093748,0.030853,19
rung0_lead_recipe,rung0_lead_recipe,pre,28,0.089348,0.028569,20
rung0_lead_recipe,rung0_lead_recipe,pre,29,0.08717,0.030441,19
rung0_lead_recipe,rung0_lead_recipe,pre,30,0.088114,0.02828,20
rung0_lead_recipe_post,rung0_lead_recipe,post,0,0.313951,0.033427,18
rung0_lead_recipe_post,rung0_lead_recipe,post,1,0.276315,0.036941,18
rung0_lead_recipe_post,rung0_lead_recipe,post,2,0.195272,0.030635,19
rung0_lead_recipe_post,rung0_lead_recipe,post,3,0.228385,0.037889,18
