model,stage,epoch,train_objective
"baseline, diverse data",pretrain,0,0.9253972202105969
"baseline, diverse data",pretrain,1,0.651627375932764
"baseline, diverse data",pretrain,2,0.4648983819346732
"baseline, diverse data",pretrain,3,0.4766124338714355
"baseline, diverse data",pretrain,4,0.3952887130412819
"baseline, diverse data",pretrain,5,0.3470309405813743
"baseline, diverse data",pretrain,6,0.3113504742604714
"baseline, diverse data",pretrain,7,0.3559806508574423
"baseline, diverse data",pretrain,8,0.3266247975921631
"baseline, diverse data",pretrain,9,0.2996417151620407
"baseline, diverse data",pretrain,10,0.2604467226463169
"baseline, diverse data",pretrain,11,0.2501145321585371
"baseline, diverse data",pretrain,12,0.23152590574108886
"baseline, diverse data",pretrain,13,0.22114426913542143
"baseline, diverse data",pretrain,14,0.21750846314441669
"baseline, diverse data",pretrain,15,0.2524935628316478
"baseline, diverse data",pretrain,16,0.24435050873915698
"baseline, diverse data",pretrain,17,0.23232891995353624
"baseline, diverse data",pretrain,18,0.22904108738035384
"baseline, diverse data",pretrain,19,0.21412664569216808
"baseline, diverse data",pretrain,20,0.2034885342789039
"baseline, diverse data",pretrain,21,0.20247332546724514
"baseline, diverse data",pretrain,22,0.18642722311147067
"baseline, diverse data",pretrain,23,0.17658099443753217
"baseline, diverse data",pretrain,24,0.17341502633978148
"baseline, diverse data",pretrain,25,0.1689435894050525
"baseline, diverse data",pretrain,26,0.1532996278904193
"baseline, diverse data",pretrain,27,0.15475356667972942
"baseline, diverse data",pretrain,28,0.15283360062247944
"baseline, diverse data",pretrain,29,0.14692452530322808
"baseline, diverse data",pretrain,30,0.14572914235212633
"baseline, diverse data",posttrain,0,0.4026853648440799
"baseline, diverse data",posttrain,1,0.3894489385967417
"baseline, diverse data",posttrain,2,0.28905703757220635
"baseline, diverse data",posttrain,3,0.3232992332073334
"baseline, diverse data",posttrain,4,0.27030701919795774
"baseline, diverse data",posttrain,5,0.24944276136728327
"baseline, diverse data",posttrain,6,0.21555494477336332
"baseline, diverse data",posttrain,7,0.2678951717659225
"baseline, diverse data",posttrain,8,0.25501184741360433
"baseline, diverse data",posttrain,9,0.23453826274492132
"baseline, diverse data",posttrain,10,0.21267070656413392
"baseline, diverse data",posttrain,11,0.1993433691808314
"baseline, diverse data",posttrain,12,0.17906099686055152
"baseline, diverse data",posttrain,13,0.1719200926458926
"baseline, diverse data",posttrain,14,0.16396117348436104
"baseline, diverse data",posttrain,15,0.22564330388550186
"baseline, diverse data",posttrain,16,0.2165263322188647
"baseline, diverse data",posttrain,17,0.2089227155450241
"baseline, diverse data",posttrain,18,0.2050073551315764
"baseline, diverse data",posttrain,19,0.1915760714811275
"baseline, diverse data",posttrain,20,0.1833802268700324
"baseline, diverse data",posttrain,21,0.17566813599580022
"baseline, diverse data",posttrain,22,0.16428188306758115
"baseline, diverse data",posttrain,23,0.15628676055017524
"baseline, diverse data",posttrain,24,0.1504458938089984
"baseline, diverse data",posttrain,25,0.1437343100889292
"baseline, diverse data",posttrain,26,0.1407053298148974
"baseline, diverse data",posttrain,27,0.13169146449618868
"baseline, diverse data",posttrain,28,0.13098511015663702
"baseline, diverse data",posttrain,29,0.1340722887498297
"baseline, diverse data",posttrain,30,0.126204579758698
"deformable, diverse data",pretrain,0,0.926576494174545
"deformable, diverse data",pretrain,1,0.6514754520838467
"deformable, diverse data",pretrain,2,0.468692682623525
"deformable, diverse data",pretrain,3,0.4673245248359547
"deformable, diverse data",pretrain,4,0.37963001798009016
"deformable, diverse data",pretrain,5,0.3429478826949315
"deformable, diverse data",pretrain,6,0.3043417404891993
"deformable, diverse data",pretrain,7,0.3472270896756144
"deformable, diverse data",pretrain,8,0.3049039689779683
"deformable, diverse data",pretrain,9,0.28504380078081676
"deformable, diverse data",pretrain,10,0.2699943055310637
"deformable, diverse data",pretrain,11,0.2396557561511073
"deformable, diverse data",pretrain,12,0.22679246241396436
