model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
post31,none,0,11381.xml,51.4,51.4,1.0,Failed - Agent deviated from the route,Town12,10,463.2,1086,65.8,0.786
rung2a_recipe,none,0,11381.xml,51.4,51.4,1.0,Failed - Agent deviated from the route,Town12,10,403.6,1076,65.6,0.779
rung2ad_recipe,none,0,11381.xml,51.4,51.4,1.0,Failed - Agent deviated from the route,Town12,10,408.0,1096,65.7,0.775
rung3_recipe,none,0,11381.xml,51.4,51.4,1.0,Failed - Agent deviated from the route,Town12,10,401.8,1082,65.7,0.775
ref0,none,0,11381.xml,100.0,100,1.0,Completed,Town12,20,446.8,1221,76.3,0.768
post31,none,0,14842.xml,22.28,22.28,1.0,Failed - Agent deviated from the route,Town12,5,122.6,155,42.1,0.065
rung2a_recipe,none,0,14842.xml,23.621,36.34,0.65,Failed - Agent deviated from the route,Town12,8,141.9,178,46.8,0.056
rung2ad_recipe,none,0,14842.xml,20.2,20.2,1.0,Failed - Agent deviated from the route,Town12,4,158.6,148,41.3,0.068
rung3_recipe,none,0,14842.xml,22.28,22.28,1.0,Failed - Agent deviated from the route,Town12,5,118.6,145,41.6,0.069
ref0,none,0,14842.xml,100.0,100,1.0,Completed,Town12,20,244.1,459,58.0,0.531
post31,none,0,14862.xml,40.99,40.99,1.0,Failed - Agent deviated from the route,Town12,8,127.5,184,51.1,0.055
rung2a_recipe,none,0,14862.xml,39.1,39.1,1.0,Failed - Agent got blocked,Town12,8,522.3,1360,44.9,0.89
rung2ad_recipe,none,0,14862.xml,26.14,26.14,1.0,Failed - Agent deviated from the route,Town12,5,103.8,161,44.8,0.062
rung3_recipe,none,0,14862.xml,40.99,40.99,1.0,Failed - Agent deviated from the route,Town12,8,111.1,178,51.5,0.056
ref0,none,0,14862.xml,100.0,100,1.0,Completed,Town12,18,124.4,230,62.5,0.07
post31,none,0,14909.xml,41.63,41.63,1.0,Failed - Agent deviated from the route,Town12,8,136.0,163,51.1,0.062
rung2a_recipe,none,0,14909.xml,41.63,41.63,1.0,Failed - Agent deviated from the route,Town12,8,102.6,165,51.1,0.061
rung2ad_recipe,none,0,14909.xml,27.42,27.42,1.0,Failed - Agent deviated from the route,Town12,5,96.9,139,44.6,0.072
rung3_recipe,none,0,14909.xml,41.63,41.63,1.0,Failed - Agent deviated from the route,Town12,8,113.5,164,51.4,0.061
ref0,none,0,14909.xml,100.0,100,1.0,Completed,Town12,20,336.6,893,60.4,0.788
post31,none,0,23670.xml,53.136916,96.96,0.548029,Failed - Agent got blocked,Town13,22,472.2,1639,162.6,0.739
rung2a_recipe,none,0,23670.xml,57.880898,100.0,0.578809,Completed,Town13,23,443.7,1695,193.0,0.714
rung2ad_recipe,none,0,23670.xml,100.0,100.0,1.0,Completed,Town13,21,184.8,492,184.1,0.02
rung3_recipe,none,0,23670.xml,60.0,100.0,0.6,Completed,Town13,22,203.2,477,184.0,0.021
ref0,none,0,23670.xml,100.0,100,1.0,Completed,Town13,19,173.6,439,164.5,0.023
post31,none,0,23695.xml,100.0,100,1.0,Completed,Town13,21,128.1,203,154.5,0.05
rung2a_recipe,none,0,23695.xml,100.0,100,1.0,Completed,Town13,21,121.7,210,154.5,0.048
rung2ad_recipe,none,0,23695.xml,100.0,100,1.0,Completed,Town13,21,138.1,263,155.1,0.149
rung3_recipe,none,0,23695.xml,100.0,100,1.0,Completed,Town13,21,127.9,211,154.6,0.048
